River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12:00 Noon",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.20,2.30,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.30,5.43,Normal,,3.,,,2,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.00,14.27,Normal,,5.7,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.63,2.56,Normal,,4.7,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.41,2.69,Normal,,,,2.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,3.51,2.99,Normal,,,,1.6,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.29,1.29,Normal,,,,2.2,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.70,2.73,Normal,,0.0,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.62,9.67,Normal,,0.0,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.91,6.93,Alert,Rising,,,2.3,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,6.11,6.05,Minor Flood,Falling,0.0,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.07,7.17,Minor Flood,Rising,,0.6,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.86,2.82,Normal,,,,1.4,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.93,3.94,Alert,Rising,0.0,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.32,1.32,Normal,,,0.9,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.39,5.32,Alert,Falling,0.0,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.43,1.40,Normal,,,,1.5,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.52,0.50,Normal,,,,1.6,,
