River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.40,2.20,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.67,2.63,Normal,,5.4
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.71,10.71,Normal,,3.9
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.87,1.90,Normal,,31.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.64,0.64,Normal,,7.6
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.15,1.16,Normal,,76.4
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.87,0.85,Normal,,3.6
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.15,3.12,Alert,Falling,29.6
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.32,7.15,Normal,,8.8
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.99,1.91,Normal,,5.4
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.38,2.45,Normal,,15.3
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.64,6.58,Minor Flood,Falling,24.4
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.72,1.75,Normal,,22.6
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.13,2.11,Normal,,14.6
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.57,0.59,Normal,,10.4
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.88,2.92,Normal,,29.8
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.83,0.86,Normal,,26.9
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.19,0.19,Normal,,21.5
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.74,0.74,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.09,0.13,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.64,0.64,Normal,,4.6
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.01,1.00,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.35,-0.35,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.76,0.76,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.24,0.24,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.01,0.01,Normal,,0.0
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.99,-1.00,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.15,0.14,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.81,-2.82,Normal,,0.0
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.96,1.98,Normal,,5.7
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.46,1.46,Normal,,8.2
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.34,0.36,Normal,,0.0
,Agra Oya,Calidonia,m,3.00,3.50,4.50,1.96,1.96,Normal,,9.3
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.65,1.64,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.35,0.35,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.73,0.73,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.03,0.03,Normal,,0.4
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.25,1.25,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.35,2.35,Normal,,3.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.21,1.21,Normal,,3.7
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.07,1.07,Normal,,4.1
