River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6:00 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.50,2.20,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.51,2.95,Normal,,9.9,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.43,11.24,Normal,,82.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.58,1.58,Normal,,112.9,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.10,1.05,Normal,,21.7,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.10,1.06,Normal,,163.2,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.16,1.10,Normal,,31.1,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.00,1.26,Normal,,16.5,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.40,7.47,Normal,,42.4,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.75,4.65,Normal,,84.9,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.10,3.46,Normal,,30.7,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.71,4.26,Normal,,68.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.00,2.25,Normal,,9.9,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.35,3.22,Normal,,43.5,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.84,0.84,Normal,,3.6,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.31,4.33,Normal,,13.7,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.48,2.18,Normal,,48.6,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.80,1.10,Normal,,98.8,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.28,1.30,Normal,,58.7,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,2.95,3.20,Normal,,8.8,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.52,1.42,Normal,,73.7,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.87,2.43,Normal,,11.1,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.05,-0.05,Normal,,11.6,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.66,1.62,Normal,,37.9,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.97,0.95,Normal,,2.1,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.57,1.55,Normal,,7.5,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,4.30,4.40,Minor Flood,Rising,39.4,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-1.86,Normal,,68.8,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.73,2.10,Normal,,213.2,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.38,1.34,Normal,,95.9,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.92,0.95,Normal,,11.6,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.68,1.70,Normal,,4.3,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.71,0.71,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,61.4,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,4.5,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.07,0.07,Normal,,5.1,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.80,1.80,Normal,,8.3,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.73,2.63,Normal,,13.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.50,1.50,Normal,,18.0,
