River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
2
Level
i
Rising or
Falling","4 Hr RF
n mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.30,3.10,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.66,5.65,Normal,,24.2
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.77,12.74,Normal,,60.1
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.83,1.61,Normal,,26.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.80,1.76,Normal,,55.9
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.46,1.43,Normal,,30.1
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.45,1.44,Normal,,46.6
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.97,2.95,Normal,,19.2
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.49,8.49,Normal,,34.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.45,4.45,Normal,,14.5
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.30,3.35,Normal,,15.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.75,6.73,Minor Flood,Falling,24.5
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.25,3.25,Normal,,21.6
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.80,2.78,Normal,,28.6
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.41,1.34,Normal,,26.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.21,5.21,Alert,,21.5
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.01,1.98,Normal,,29.2
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.28,1.27,Normal,,37.7
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.23,1.23,Normal,,7.7
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.54,0.54,Normal,,8.1
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.78,0.78,Normal,,5.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.33,1.35,Normal,,4.3
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.15,-0.14,Normal,,12.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.80,0.80,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.48,0.48,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.41,0.41,Normal,,0.5
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.60,0.58,Normal,,0.6
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.83,-2.88,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.67,2.65,Normal,,15.2
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.91,1.88,Normal,,41.2
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.36,0.37,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.79,1.79,Normal,,1.1
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,3.4
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.59,1.59,Normal,,3.9
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.63,1.71,Normal,,41.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.50,5.56,Alert,Rising,67.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.03,4.01,Normal,,59.7
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.09,3.08,Normal,,49.8
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.87,4.87,Minor Flood,,52.2
