River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
9:00 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.50,2.90,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.19,3.15,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.09,11.05,Normal,,3.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,1.81,Normal,,5.3,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.72,0.72,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.14,1.13,Normal,,4.7,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.88,0.88,Normal,,2.1,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.60,3.59,Alert,Falling,1.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.42,9.37,Normal,,3.5,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.37,3.28,Normal,,6.5,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.72,2.60,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.71,7.67,Minor Flood,Falling,1.3,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.70,1.70,Normal,,8.7,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.11,3.06,Normal,,13.6,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.85,0.84,Normal,,3.9,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.33,3.28,Normal,,3.1,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.70,0.68,Normal,,0.5,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.20,0.20,Normal,,2.1,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.74,0.74,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.15,0.15,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.63,0.63,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.03,1.03,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.34,-0.34,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.78,0.78,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.26,0.26,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.01,0.01,Normal,,0.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.94,-0.96,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.20,0.18,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.80,-2.88,Normal,,0.0,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.20,2.55,Normal,,0.9,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.45,1.44,Normal,,0.9,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.30,0.34,Normal,,0.0,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.98,0.96,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.71,1.70,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.35,0.35,Normal,,1.2,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.77,0.77,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.10,0.09,Normal,,2.0,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.31,1.31,Normal,,0.2,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.55,2.54,Normal,,5.2,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.36,1.35,Normal,,3.1,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.36,1.34,Normal,,0.2,
