"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය /jpfjp / Date :08th Oct 2021 at 0600hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk; Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS Division",,,"පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpas
T
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்க
ளின்
சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"ස්ත්‍බරගමුව
පලාත
rg;ufKt
Sabaragamuw
a",,,Kahawaththa,Cutting Failure,2021.10.05,1,5,,,,,1,,,,,,
,,,Ayagama,Heavy Rain,2021.10.05,1,4,,,,,1,,,,,,
,,රත්නපුර,,Cutting Failure,2021.10.06,1,3,,,,,,,,,,,
,1,",uj;jpdGhp",Godakawela,Heavy Rain,2021.10.02,1,6,,,,,1,,,,,,
,,Rathnapura,Kuruwita,Rock Fallen,2021.10.05,13,53,,,,,,,,,,,
,,,Pelmadulla,Heavy Rain,,1,4,,,,,1,,,,,,
,,,Eheliyagoda,High Wind,,2,10,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,20,85,0,0,0,0,6,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,20,85,0,0,0,0,6,0,0,0,0,0,
"මධ්‍යම පලාත
kj;jpa
khfhzk;
Central",2,"නුවර
fz;b
Kandy",Udapalatha,High Wind,2021.09.30,1,5,,,,,1,,,,,,
,,,Udunuwara,,2021.10.04,14,60,,,,,14,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,15,65,0,0,0,0,15,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,15,65,0,0,0,0,15,0,0,0,0,0,
"නැගගනහිර
පලාත fpof;F
Eastern",3,"ත්‍රීකුණාමලය
jp.kiy
Trincomalee",Kanthale,High Wind,2021.10.02-04,2,11,,,,,2,,,,,,
,,,Kuchchaveli,,2021.09.27,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,3,15,0,0,0,0,3,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,3,15,0,0,0,0,3,0,0,0,0,0,
"දකුනු පලාත
njd;
khfhzk;
Southern",4,"හම්බනගතාට
`k;ghe;Njhl;il
Hambantota",Beliaththa,High Wind,2021.10.01,1,4,,,,,1,,,,,,
,,,Walasmulla,,2021.10.05,1,2,,,,,1,,,,,,
,,,Katuwana,,,1,3,,,,,1,,,,,,
,,,Weeraketiya,Heavy Rain,,1,4,,,,1,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,4,13,0,0,0,1,3,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,4,13,0,0,0,1,3,0,0,0,0,0,
