River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12.00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.30,1.60,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.64,2.63,Normal,,0.0,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.75,10.71,Normal,,2.2,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.00,Normal,,0.0,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.84,0.84,Normal,,0.0,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.02,1.01,Normal,,,,1.4,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.97,0.97,Normal,,0.0,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.64,0.66,Normal,,3.4,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.82,5.81,Normal,,0.0,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.01,1.98,Normal,,0.0,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.65,1.68,Normal,,0.0,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.09,3.12,Normal,,,0.5,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.07,2.05,Normal,,0.0,,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.92,1.83,Normal,,1.9,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.72,1.72,Minor Flood,,0.0,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.70,4.68,Normal,,,0.8,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.43,1.42,Normal,,2.9,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.81,0.80,Normal,,0.0,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.68,2.67,Normal,,0.0,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.45,1.46,Normal,,0.0,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.77,1.78,Normal,,2.2,,,,
