River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,0.80,0.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.07,1.07,Normal,,0.6,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.25,9.23,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.68,1.60,Normal,,0.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.54,0.56,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.45,0.44,Normal,,0.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.73,0.73,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.31,0.22,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.73,4.73,Normal,,0.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.09,1.08,Normal,,0.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.31,1.33,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.42,2.38,Normal,,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.12,1.10,Normal,,0.5,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.56,1.40,Normal,,3.4,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.63,0.61,Normal,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.27,3.27,Normal,,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.95,0.95,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.64,0.64,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.75,1.74,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.86,0.87,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.95,0.95,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.58,1.58,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.10,-0.10,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.40,1.40,Normal,,2.9,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.81,0.85,Normal,,2.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.33,1.32,Normal,,1.3,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,1.10,1.14,Normal,,44.3,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,2.24,2.28,Normal,,44.3,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.00,-1.03,Normal,,45.9,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.03,2.21,Normal,,3.2,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.98,0.99,Normal,,1.7,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.85,0.87,Normal,,10.6,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.92,1.92,Normal,,6.8,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.10,1.25,Normal,,1,8.5,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.78,1.78,Normal,,1.1,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.06,1.04,Normal,,23,,.2
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.53,0.53,Normal,,4.2,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.30,2.30,Normal,,3.7,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.16,1.17,Normal,,9.1,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.32,1.33,Normal,,0.2,,
