பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 9 - 2 6,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,32,26,90,65,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,35,26,85,55,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
வகாழும்பு,29,25,90,75,அடிக்கடி மலை வபய்யும்
காலி,29,24,95,80,அவ்வப்பபாது மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
யாழ்ப்பாணம்,32,27,90,65,பிரதானமாக சீரான வானிலை
கண்டி,28,23,90,75,அடிக்கடி மலை வபய்யும்
நுவவரலியா,18,14,95,85,அடிக்கடி சிறிதளவில் மலை வபய்யும்
இரத்தினபுரி,29,24,95,90,அவ்வப்பபாது மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
திருபகாணமலை,34,27,85,55,பிரதானமாக சீரான வானிலை
மன்னார்,32,27,80,70,பிரதானமாக சீரான வானிலை
