River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.40,1.30,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.05,1.99,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.92,9.92,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.64,1.64,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.83,0.83,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.65,0.64,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.92,0.92,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.06,1.02,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.95,5.90,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.96,1.94,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.06,2.06,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.78,3.73,Normal,,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.71,2.68,Normal,,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.06,2.08,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.86,1.85,Minor Flood,Falling,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.10,4.98,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.45,1.45,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.96,0.95,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.85,2.72,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,3.41,3.38,Normal,,0.4
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.70,4.65,Normal,,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.78,2.77,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.54,1.53,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.26,2.24,Normal,,0.0
