River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.90,2.00,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.96,1.91,Normal,,8.5,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.78,9.67,Normal,,22.8,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.39,1.15,Normal,,30.3,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.51,0.50,Normal,,3.6,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.65,0.62,Normal,,46.6,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.65,0.65,Normal,,10.6,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.86,0.88,Normal,,23.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.82,5.82,Normal,,31.9,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.63,1.59,Normal,,3.4,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.43,1.41,Normal,,26.1,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.00,2.96,Normal,,34.7,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.89,1.84,Normal,,23.1,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.13,2.15,Normal,,70.7,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.34,1.34,Normal,,41.9,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.63,5.56,Alert,Falling,19.2,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.10,1.96,Normal,,46.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.11,1.07,Normal,,61.8,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.21,1.18,Normal,,23.8,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.97,0.92,Normal,,10.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.74,0.74,Normal,,22.9,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.62,1.60,Normal,,11.9,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.05,0.06,Normal,,1.4,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.06,1.05,Normal,,3.2,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.63,0.62,Normal,,2.4,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.39,0.39,Normal,,7.8,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.22,-0.19,Normal,,22.1,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.92,0.93,Normal,,22.1,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.30,-2.32,Normal,,5.6,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.38,1.40,Normal,,8.7,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.79,0.79,Normal,,4.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.50,0.53,Normal,,15.6,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.60,0.61,Normal,,6.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.87,1.88,Normal,,24.7,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.51,0.51,Normal,,38.3,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.03,1.04,Normal,,4.8,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.34,0.37,Normal,,4.9,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.61,0.60,Normal,,4.7,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.21,2.21,Normal,,19.3,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.30,1.30,Normal,,6.7,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.65,1.60,Normal,,38.9,
