දින්‍ය : 2026-03-07,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්තරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරෙ,34,22,95,50,ප්‍රධාන වශයෙන් වැසි රහිත
මඩකලපුව,30,25,90,70,ප්‍රධාන වශයෙන් වැසි රහිත
යකාළඹ,32,24,90,65,ප්‍රධාන වශයෙන් වැසි රහිත
ගාල්ල,30,25,80,70,ප්‍රධාන වශයෙන් වැසි රහිත
ොපනෙ,32,20,95,60,ප්‍රධාන වශයෙන් වැසි රහිත
මහනුවර,32,21,95,55,ප්‍රධාන වශයෙන් වැසි රහිත
නුවරඑළිෙ,21,9,95,45,ප්‍රධාන වශයෙන් වැසි රහිත
රත්තනපුරෙ,35,23,95,40,ප්‍රධාන වශයෙන් වැසි රහිත
ත්‍රිකුණාමලෙ,32,23,95,65,ප්‍රධාන වශයෙන් වැසි රහිත
මන්නාරම,32,23,95,60,ප්‍රධාන වශයෙන් වැසි රහිත
