River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.40,2.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.07,1.05,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.16,9.20,Normal,,0.4,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.72,1.50,Normal,,0.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.60,0.60,Normal,,1.7,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.45,0.45,Normal,,3.1,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.73,0.73,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.78,0.78,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.68,4.68,Normal,,0.0,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.19,1.19,Normal,,0.8,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.34,1.34,Normal,,0.0,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,2.18,2.16,Normal,,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.14,1.14,Normal,,1.5,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.36,1.42,Normal,,5.3,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.54,0.55,Normal,,11.7,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.64,2.64,Normal,,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.67,0.69,Normal,,5.5,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.47,0.48,Normal,,13.2,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.99,1.00,Normal,,28.,,3
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.03,1.06,Normal,,10.8,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.05,1.05,Normal,,2.6,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.48,1.47,Normal,,5.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.18,0.17,Normal,,24.,,3
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.48,2.56,Normal,,13.7,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.34,1.35,Normal,,3.7,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.20,1.18,Normal,,1.5,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,4.20,4.36,Minor Flood,Rising,3.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,1.49,1.36,Normal,,41.1,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.02,2.98,Normal,,9.7,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.98,0.98,Normal,,0.8,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,1.36,1.30,Normal,,1,8.6,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,5.33,5.32,Normal,,4.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.20,1.18,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,5.10,5.18,Alert,Rising,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.31,1.33,Normal,,12.4,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.48,1.48,Normal,,1.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.35,2.35,Normal,,11.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.22,1.23,Normal,,5.9,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.37,1.38,Normal,,3.7,,
