,Nuwara-Eliya,,Showers or,,,Showers or,,"Showers or
thundershowers"
,,,thundershowers,,,thundershowers,,
,,,at times ; Fairly,,,at times ; Fairly,,
,,,heavy rainfall,,,heavy rainfall,,
,,,about (75- 100),,,about (75- 100),,
,,,mm at some,,,mm at some,,
,,,places,,,places,,
,Matale,,Showers or,,,Showers or,,"Showers or
thundershowers"
,,,thundershowers,,,thundershowers,,
,,,at times ; Heavy,,,at times ; Heavy,,
,,,rainfall above 100,,,rainfall above 100,,
,,,mm at some,,,mm at some,,
,,,places,,,places,,
