Province,08th Jan.,09th Jan.,,,10th Jan.,
Northern,"Strong winds
(50-60) kmph at times",,Very strong winds at,,,"Very strong winds at
times about (60-70)
kmph and gusting up to
80 kmph"
,,,times about (60-70),,,
,,,kmph and gusting up,,,
,,,to 80 kmph,,,
North-Central,"Strong winds
(50-60) kmph at times",,Very strong winds at,,,"Very strong winds at
times about (60-70)
kmph and gusting up to
80 kmph"
,,,times about (60-70),,,
,,,kmph and gusting up,,,
,,,to 80 kmph,,,
Eastern,"Strong winds
(50-60) kmph at times",,Very strong winds at,,"Strong winds
(50-60) kmph at times",
,,,times about (60-70),,,
,,,kmph and gusting up,,,
,,,to 80 kmph,,,
Sabaragamuwa,"Fairly Strong winds
(40-50) kmph at times","Fairly Strong winds
(40-50) kmph at times",,,"Winds up to
(30-40) kmph at times",
Western,"Strong winds
(50-60) kmph at times","Strong winds
(50-60) kmph at times",,,"Fairly strong winds
(40-50) kmph at times",
Southern,"Winds up to
(30-40) kmph at times","Winds up to
(30-40) kmph at times",,,"Winds up to
(30-40) kmph at times",
Uva,"Strong winds
(50-60) kmph at times","Strong winds
(50-60) kmph at times",,,"Winds up to
(30-40) kmph at times",
North-Western,"Strong winds
(50-60) kmph at times","Strong winds
(50-60) kmph at times",,,"Strong winds
(50-60) kmph at times",
Central,"Strong winds
(50-60) kmph at times","Very Strong winds
(60-70) kmph at times",,,"Fairly strong winds
(40-50) kmph at times",
