River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.20,1.90,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.02,1.01,Normal,,2.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.20,9.15,Normal,,0.4,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.84,1.83,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.60,0.59,Normal,,1.7,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.45,0.45,Normal,,3.1,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.73,0.71,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.68,0.58,Normal,,3.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.68,4.70,Normal,,5.3,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.22,1.23,Normal,,3.4,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.33,1.33,Normal,,0.0,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,2.16,2.14,Normal,,7.7,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.12,1.12,Normal,,1.5,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.37,1.34,Normal,,5.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.53,0.50,Normal,,31,.7
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.69,2.70,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.70,0.71,Normal,,5.5,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.53,0.55,Normal,,14.4,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.00,1.00,Normal,,28,.3
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.16,1.19,Normal,,10.8,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.06,1.06,Normal,,4.6,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.53,1.52,Normal,,5.0,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.20,0.29,Normal,,24,.3
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.52,2.52,Normal,,15.2,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.43,1.46,Normal,,4.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,2.25,2.30,Normal,,2.2,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,4.58,4.66,Minor Flood,Rising,15.5,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,1.40,1.45,Normal,,52.4,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.82,2.82,Normal,,11.6,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.96,0.95,Normal,,0.8,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,1.30,1.25,Normal,,18.6,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,5.31,5.31,Normal,,4.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.16,1.13,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,5.32,5.40,Alert,Rising,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.34,1.35,Normal,,12.4,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.49,1.49,Normal,,1.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.37,2.37,Normal,,11.2,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.24,1.26,Normal,,7.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.38,1.37,Normal,,3.7,
