River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3.00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.30,2.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.59,2.58,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.66,10.63,Normal,,2.2,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,1.95,Normal,,1.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.84,0.84,Normal,,3.4,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.02,1.02,Normal,,2.8,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.96,0.96,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.82,0.93,Normal,,3.7,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.79,5.79,Normal,,0.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.93,1.90,Normal,,0.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.75,1.78,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.13,3.14,Normal,,2.4,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.01,2.04,Normal,,25.0,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.99,1.94,Normal,,,9.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.71,1.70,Minor Flood,Falling,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.66,4.71,Normal,,,7.8,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.63,1.66,Normal,,32.1,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.80,0.80,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.71,2.71,Normal,,,10.6,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.47,1.47,Normal,,0.3,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.80,1.88,Normal,,32.2,,
