ප්‍රධාන්‍ න්‍ගර සෙහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 5 - 1 2 -26,,,,,
න්‍ගරය,උෂ්ණත්වය(දස. අංශ්‍ක),,සාදේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,30,22,90,75,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මඩකලපුව,30,24,90,80,වැසි සරවේපයක්
හකාළඹ,33,24,85,60,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
ොේල,29,24,95,80,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
යාපනය,29,24,85,60,වැසි සරවේපයක්
ම නුවර,29,19,90,60,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
නුවරඑළිය,20,11,95,75,වැසි සරවේපයක්
රත්නපුරය,33,23,95,60,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
ිකුණාමලය,28,23,90,75,වැසි සරවේපයක්
මන්නාරම,29,25,80,75,වැසි සරවේපයක්
