දින්‍ය : 2026-05-29,,,,,
න්‍ගරය,උෂ්ණත්වය(නස. අංශක),,සානේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,32,25,95,60,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මඩකලපුව,33,26,90,60,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
හකාළඹ,31,25,95,70,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,29,25,95,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,32,28,85,70,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මහනුවර,29,22,95,70,වැසි වාර කිහිපයක්
නුවරඑළිය,21,15,95,75,වැසි වාර කිහිපයක්
රත්නපුරය,30,23,95,85,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,35,27,85,55,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මන්නාරම,31,28,85,75,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
