River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.10,2.70,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.79,4.81,Normal,,235.7
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.63,11.58,Normal,,108.7
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.85,1.85,Normal,,35.4
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.74,0.73,Normal,,8.5
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.10,1.07,Normal,,25.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.82,0.82,Normal,,10.4
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.65,2.68,Normal,,48.8
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.37,8.38,Normal,,124.4
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.82,3.73,Normal,,46.8
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.25,4.21,Alert,Falling,52.4
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.05,6.10,Alert,Rising,72.6
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.42,2.34,Normal,,60.2
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.02,3.04,Normal,,117.9
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.76,0.76,Normal,,59.5
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.01,4.00,Normal,,55.8
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.90,0.87,Normal,,50.3
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.29,0.28,Normal,,25.8
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.86,0.84,Normal,,3.6
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.18,0.17,Normal,,31.2
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.65,0.65,Normal,,6.2
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.03,1.02,Normal,,4.1
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.25,-0.26,Normal,,5.2
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.02,0.99,Normal,,12.3
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.77,0.73,Normal,,19.2
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.21,0.21,Normal,,47.7
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.31,-0.33,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.83,0.81,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.39,-2.39,Normal,,5.5
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.10,2.30,Normal,,40.8
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.27,1.24,Normal,,30.8
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.47,0.48,Normal,,3.9
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.91,0.93,Normal,,19.3
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.81,1.80,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.33,0.33,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.55,1.80,Normal,,12.9
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.05,-0.05,Normal,,35.7
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.05,1.05,Normal,,39.2
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.52,2.50,Normal,,149.7
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.23,1.26,Normal,,10.6
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.65,3.65,Alert,,98.6
