River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.10,0.80,Normal,,-,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,1.57,1.55,Normal,,0.6,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,9.92,9.90,Normal,,0.4,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.80,1.60,Normal,,1.0,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.30,0.37,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,0.95,0.94,Normal,,1.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.68,0.68,Normal,,0.2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.80,0.74,Normal,,1.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.37,5.33,Normal,,5.8,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.46,1.45,Normal,,1.6,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.44,1.46,Normal,,6.2,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.42,2.31,Normal,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.22,1.20,Normal,,,17.1
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.39,1.39,Normal,,8.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.41,0.35,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.49,2.47,Normal,,,21.2
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.41,0.41,Normal,,0.5,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,-0.01,-0.01,Normal,,1.4,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.66,0.65,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.19,0.19,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.56,0.56,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.92,0.92,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.26,-0.26,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.56,0.56,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.29,0.28,Normal,,50.9,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.07,0.07,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.06,-0.08,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.25,-3.28,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.68,2.58,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.52,1.51,Normal,,2.7,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.12,0.09,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.66,1.67,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.42,0.42,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.70,0.70,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.09,0.09,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.06,0.06,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.93,1.93,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.90,0.90,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.34,0.33,Normal,,0.0,
