River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",,,,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.90,1.80,Normal,,-,,,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.50,2.57,Normal,,8.9,,,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.98,11.05,Normal,,30.2,,,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.96,1.92,Normal,,,38.4,,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.76,1.82,Normal,,5,,0.2,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.88,0.88,Normal,,28.8,,,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.46,1.45,Normal,,22.8,,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.66,1.63,Normal,,1.1,,,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.68,6.61,Normal,,7.2,,,,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.65,2.65,Normal,,14.8,,,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.90,2.79,Normal,,6.8,,,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.86,4.84,Normal,,0.6,,,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.47,3.43,Normal,,0.0,,,,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.15,2.14,Normal,,0.0,,,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.57,1.58,Alert,Rising,70.4,,,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.55,4.63,Normal,,4,,8.6,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.56,2.23,Normal,,,37.8,,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.76,2.97,Alert,Rising,83.1,,,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.19,1.20,Normal,,1.2,,,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,2.21,2.33,Normal,,11.6,,,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,2.40,2.32,Normal,,26.4,,,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.12,2.20,Normal,,11.0,,,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,2.47,2.60,Normal,,27.5,,,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,5.94,5.56,Alert,Falling,62,,,.6,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,5.83,5.86,Alert,Rising,81.1,,,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,4.59,4.99,Minor Flood,Rising,86.8,,,,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,5.03,5.05,Minor Flood,Rising,123.4,,,,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,2.44,2.99,Normal,,101.9,,,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.69,4.94,Normal,,78.0,,,,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.70,1.90,Normal,,,42.4,,,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,3.30,3.10,Alert,Falling,75.1,,,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,7.53,7.55,Minor Flood,Rising,61,,,.2,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,5.09,5.20,Minor Flood,Rising,108.1,,,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,5.35,5.47,Alert,Rising,84.7,,,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.86,4.10,Normal,,23.5,,,,,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.96,4.05,Normal,,18.5,,,,,,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,3.77,3.88,Normal,,28.1,,,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.35,2.40,Normal,,20.1,,,,,,
