River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.50,1.30,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.90,2.84,Normal,,2,0.7,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.43,10.33,Normal,,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.80,1.60,Normal,,1,8.7,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.76,0.76,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.72,0.74,Normal,,2,1.3,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.95,0.95,Normal,,9.2,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.19,1.10,Normal,,4.5,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.95,5.92,Normal,,3.8,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.16,2.11,Normal,,1,8.2,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.42,3.16,Normal,,1,4.7,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.05,4.00,Normal,,4.5,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.54,1.50,Normal,,2.3,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.65,1.63,Normal,,1.4,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.03,1.01,Normal,,6.2,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.55,3.54,Normal,,6.5,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.14,1.13,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.85,0.85,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.78,1.77,Normal,,0.3,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.50,1.54,Normal,,2.2,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.25,1.25,Normal,,6.6,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.83,1.85,Normal,,2.2,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.40,0.36,Normal,,41.5,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.77,1.73,Normal,,2,0.9,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.52,1.53,Normal,,1,9.4,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.55,1.47,Normal,,27.,,0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.73,0.78,Normal,,47.1,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.87,1.92,Normal,,47.1,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.10,-1.05,Normal,,8.9,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.98,2.99,Normal,,0.5,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.20,1.20,Normal,,1.0,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.87,0.85,Normal,,8.1,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.94,1.94,Normal,,3.0,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.68,0.68,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.89,1.88,Normal,,0.3,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.47,0.46,Normal,,0.2,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.32,1.32,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.88,2.88,Normal,,0.2,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.60,1.60,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.25,2.20,Normal,,1,8.3,,
