ප්‍රධාන්‍ න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 - 0 1 -23,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,28,20,95,55,විටින් විට වැසි
මඩකලපුව,28,23,90,65,විටින් විට වැසි
ගකාළඹ,31,24,80,55,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ොේල,29,26,85,75,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,29,22,95,65,විටින් විට වැසි
මහනුවර,28,18,95,60,වැසි සරවේපයක්
නුවරඑළිය,20,7,90,30,විටින් විට වැසි
රත්නපුරය,33,22,95,45,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ිකුණාමලය,28,24,95,60,විටින් විට වැසි
මන්නාරම,28,25,80,65,විටින් විට වැසි
