River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.80,1.40,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.24,3.17,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.05,10.95,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.05,1.99,Normal,,6.6,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.84,0.83,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.02,1.02,Normal,,2.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.99,0.98,Normal,,7.9,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.94,0.84,Normal,,0.9,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.14,6.10,Normal,,4.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.03,2.01,Normal,,4.5,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.70,1.67,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.19,3.06,Normal,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.95,1.91,Normal,,5.6,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.82,1.81,Normal,,3.4,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.24,1.24,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.19,4.19,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.30,1.29,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.87,0.88,Normal,,3.5,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.86,1.85,Alert,Falling,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.80,1.79,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.39,1.39,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.98,1.96,Normal,,22.8,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.76,1.76,Normal,,1.3,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.29,1.27,Normal,,0.3,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.74,0.74,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.71,0.71,Normal,,50.3,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.65,-0.66,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.49,0.48,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.55,-2.60,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.22,3.20,Normal,,7.5,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.39,1.39,Normal,,18.1,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.74,0.72,Normal,,65.4,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.06,2.06,Normal,,0.6,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.63,0.62,Normal,,1.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.37,2.36,Normal,,1.7,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.17,1.17,Normal,,3.5,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.08,2.08,Normal,,12.5,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.09,3.09,Normal,,6.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.88,1.87,Normal,,4.2,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.04,2.04,Normal,,0.0,
