River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.50,2.50,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.31,4.24,Normal,,26.6
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.70,11.60,Normal,,18.2
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.83,1.68,Normal,,28.4
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.12,1.10,Normal,,7.4
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.97,0.95,Normal,,61.3
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.15,1.13,Normal,,21.5
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.85,1.86,Normal,,23.8
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.81,7.84,Normal,,75.2
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.27,3.22,Normal,,77.2
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.40,3.31,Normal,,44.0
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,4.60,4.63,Normal,,40.2
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.89,2.98,Normal,,201.0
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.79,1.81,Normal,,41.8
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.45,0.40,Normal,,43.7
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.59,2.82,Normal,,25.1
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.86,0.94,Normal,,49.9
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.08,0.10,Normal,,15.6
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.85,0.83,Normal,,4.4
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.95,1.88,Normal,,90.8
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.43,1.43,Normal,,31.4
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.92,1.85,Normal,,45.8
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.01,0.89,Normal,,27.8
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.40,1.33,Normal,,33.6
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.68,0.67,Normal,,5.9
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.56,0.53,Normal,,0.4
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.58,0.65,Normal,,8.1
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.55,-2.30,Normal,,15.2
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.88,2.83,Normal,,10.8
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.56,1.55,Normal,,89.1
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.78,0.77,Normal,,14.2
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.83,1.83,Normal,,72.5
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.86,0.86,Normal,,40.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.10,2.30,Normal,,27.1
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.78,0.76,Normal,,2.9
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.72,4.61,Normal,,32.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.70,4.69,Normal,,26.7
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.92,3.74,Normal,,16.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.89,2.88,Normal,,15.6
