River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12.00
midnight",Remarks,"Water Level
Rising or
Falling","15 Hr RF
in mm at
12.00 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.60,1.60,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.48,3.39,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.77,10.70,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.00,Normal,,13.3
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.94,0.94,Normal,,0.6
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.80,0.87,Normal,,1.6
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.93,0.93,Normal,,2.3
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.79,1.79,Normal,,0.6
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.56,7.56,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.93,3.80,Normal,,0.1
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.04,4.01,Alert,Falling,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.40,5.46,Alert,Rising,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.76,3.77,Alert,Rising,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.69,2.67,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.98,1.99,Minor Flood,Rising,0.6
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.89,6.87,Minor Flood,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.52,2.37,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.70,1.65,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.74,3.70,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.52,2.48,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.98,3.96,Alert,Falling,0.0
