River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
Midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12.00
Midnight",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.10,2.40,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.05,2.18,Normal,,1.1,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.59,10.62,Normal,,25.1,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.57,1.57,Normal,,34.,7
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.63,0.63,Normal,,1.7,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.88,0.85,Normal,,19.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.71,0.71,Normal,,0.6,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.98,1.01,Normal,,1.1,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.60,5.88,Normal,,0.0,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.09,2.97,Normal,,8.9,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.36,3.25,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.44,4.50,Normal,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.94,1.98,Normal,,0.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.50,2.46,Normal,,65.1,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.85,0.85,Normal,,43.,5
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.91,3.84,Normal,,23.3,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.15,1.05,Normal,,11.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.16,0.16,Normal,,11.7,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.05,1.04,Normal,,1.4,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.85,1.85,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.60,1.59,Normal,,1.4,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.88,1.88,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.62,1.60,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.46,1.90,Normal,,7.7,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,2.69,2.55,Normal,,7.2,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.37,0.37,Normal,,9.9,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.20,1.20,Normal,,17.7,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,10.2,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.49,1.53,Normal,,1.6,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.13,1.12,Normal,,1.9,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,1.28,1.12,Normal,,38.,3
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.15,2.14,Normal,,25.1,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.63,0.63,Normal,,2.3,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,9.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,18.1,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.31,1.33,Normal,,1.7,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.71,2.70,Normal,,16.4,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.53,1.52,Normal,,25.8,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.88,2.93,Normal,,4.2,
