දින්‍ය : 2026-03-22,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්තරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,35,23,90,60,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,32,25,90,65,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,33,25,90,60,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,33,25,90,70,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,34,22,95,55,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,33,20,95,55,ප්‍රධාන වශයයන් වැසි රහිත
නුවරඑළිය,22,10,90,60,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රත්නපුරය,36,23,90,55,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,33,25,90,70,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,34,25,90,55,ප්‍රධාන වශයයන් වැසි රහිත
