River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.05,1.25,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.09,1.07,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.23,9.16,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.53,1.69,Normal,,5.6,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.51,0.47,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.42,0.40,Normal,,0.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.66,0.65,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.38,0.40,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.64,4.65,Normal,,0.6,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.02,1.00,Normal,,0.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.00,1.00,Normal,,0.0,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,1.72,1.76,Normal,,0.0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.37,1.46,Normal,,11.8,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,0.98,1.00,Normal,,2,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.19,0.29,Normal,,31.,,5
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.85,2.91,Normal,,6.4,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.82,0.81,Normal,,1.4,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.27,0.27,Normal,,8.9,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.95,0.94,Normal,,2.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.75,0.74,Normal,,4.1,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.77,0.77,Normal,,32.,,3
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.23,1.23,Normal,,2.5,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.04,-0.05,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.89,0.88,Normal,,1.8,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.47,0.47,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.31,0.31,Normal,,0.0,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.99,-0.99,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.15,0.15,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.71,-2.71,Normal,,9.5,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.20,1.20,Normal,,2,1.9,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.85,0.85,Normal,,13.6,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.48,0.45,Normal,,49.7,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.56,1.56,Normal,,12.2,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.57,0.57,Normal,,3.6,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.85,0.85,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.16,0.15,Normal,,9.3,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.28,0.28,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.88,1.88,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.14,1.18,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.80,0.80,Normal,,0.0,,
