,Kegalle,"Showers or
thundershowers
during the
evening or night.",,,"Showers or
thundershowers",,Showers or,
,,,,,,,thundershowers,
,,,,,,,during the,
,,,,,,,evening or,
,,,,,,,night.,
Western,Colombo,,Showers or,,"Showers or
thundershowers",Mainly fair,Mainly fair,
,,,thundershowers,,,,,
,,,during the,,,,,
,,,evening or night.,,,,,
,Kaluthara,"Showers or
thundershowers
during the
evening or night.",Showers or,,"Showers or
thundershowers",,Showers or,
,,,thundershowers,,,,thundershowers,
,,,during the,,,,during the,
,,,evening or night.,,,,evening or,
,,,,,,,night.,
,Gampaha,,Showers or,,"Showers or
thundershowers",Mainly fair,Mainly fair,
,,,thundershowers,,,,,
,,,during the,,,,,
,,,evening or night.,,,,,
Southern,Galle,"Showers or
thundershowers
during the
evening or night.",Showers or,,"Showers or
thundershowers",,Showers or,
,,,thundershowers,,,,thundershowers,
,,,during the,,,,during the,
,,,evening or night.,,,,evening or,
,,,,,,,night.,
,Matara,"Showers or
thundershowers
during the
evening or night.",,,"Showers or
thundershowers",,Showers or,
,,,,,,,thundershowers,
,,,,,,,during the,
,,,,,,,evening or,
,,,,,,,night.,
,Hambanthota,,Showers or,,"Showers or
thundershowers","Several spells of
showers",Several spells of,
,,,thundershowers,,,,showers,
,,,during the,,,,,
,,,evening or night.,,,,,
Uva,Monaragala,,Showers or,,"Showers or
thundershowers
at times.","Several spells of
showers",,
,,,thundershowers,,,,,
,,,at times; Heavy,,,,,
,,,rainfall above 100,,,,,
,,,mm at some,,,,,
,,,places,,,,,
,Badulla,,Showers or,,"Showers or
thundershowers
at times.","Several spells of
showers",,
,,,thundershowers,,,,,
,,,at times; Heavy,,,,,
,,,rainfall above 100,,,,,
,,,mm at some,,,,,
,,,places,,,,,
North-western,Kurunegala,"Showers or
thundershowers
at times.",,,"Showers at
times.",Mainly fair,,
,Puttalam,"Showers or
thundershowers
at times",,,"Showers at
times",Mainly fair,,
Central,Kandy,,Showers or,,"Showers or
thundershowers.",,Showers or,
,,,thundershowers,,,,thundershowers,
,,,at times ;Fairly,,,,during the,
,,,heavy rainfall,,,,evening or,
,,,about (75- 100),,,,night.,
