River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.40,1.10,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.67,2.60,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.29,10.23,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.92,1.90,Normal,,3.6
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.98,0.96,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.73,0.75,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.98,0.98,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.02,1.98,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.09,7.09,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.59,2.52,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.67,2.51,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.37,5.34,Alert,Falling,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.59,3.56,Alert,Falling,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.23,2.21,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.96,1.96,Minor Flood,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.70,5.64,Alert,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.58,1.55,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.99,0.99,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.16,2.15,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,4.45,4.38,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,6.55,6.50,Alert,Falling,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.05,3.04,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.81,1.81,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.56,3.52,Alert,Falling,0.0
