RiverBasin,Tributory/River,GaugingStation,,,,,"Water
Levelat
8:00PM","Water
Levelat
9:00PM",Remarks,"Water
Level
Risingor
Falling","12HrRF
inmmat
9:00PM",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
"KelaniGanga
(RB01)",KelaniGanga,NagalagamStreet,ft,4.00,5.00,7.00,2.50,2.40,Normal,,-,,,
,KelaniGanga,Hanwella,m,7.00,8.00,10.00,4.03,4.05,Normal,,2.0,,,
,KelaniGanga,Glencourse,m,15.00,16.50,19.00,12.09,12.00,Normal,,,8.3,,
,KelaniGanga,Kithulgala,m,3.00,4.00,6.00,2.03,2.15,Normal,,35.2,,,
,GurugodaOya,Holombuwa,m,3.00,3.40,5.00,1.02,1.10,Normal,,24.,,7,
,SeethawakaGanga,Deraniyagala,m,4.80,5.80,6.40,1.80,1.83,Normal,,39.7,,,
,KehelgamuOya,Norwood,m,1.50,3.00,4.50,0.87,0.86,Normal,,,11.7,,
"KaluGanga
(RB03)",KaluGanga,Putupaula,m,3.00,4.00,5.00,2.20,2.22,Normal,,4.4,,,
,KaluGanga,Ellagawa,m,10.00,10.70,12.20,8.28,8.38,Normal,,25.,,3,
,KaluGanga,Rathnapura,m,5.20,7.50,9.50,5.03,4.91,Normal,,,10.3,,
,MaguruGanga,Magura,m,4.00,6.00,7.50,3.84,3.80,Normal,,0.0,,,
,KudaGanga,Kalawellawa(Millakanda),m,5.00,6.50,8.00,5.66,5.65,Alert,Falling,,10.5,,
"GinGanga
(RB09)",GinGanga,Baddegama,m,3.50,4.00,5.00,3.42,3.42,Normal,,0.0,,,
,GinGanga,Thawalama,m,4.00,6.00,7.50,2.70,2.67,Normal,,0.0,,,
"NilwalaGanga
(RB12)",NilwalaGanga,Thalgahagoda,m,1.40,1.70,2.80,1.21,1.21,Normal,,,8.5,,
,NilwalaGanga,Panadugama,m,5.00,6.00,7.50,4.89,4.86,Normal,,,9.5,,
,NilwalaGanga,Pitabeddara,m,4.00,5.00,6.50,1.52,1.54,Normal,,3.8,,,
,UrubokkaGanga,Urawa,m,2.50,4.00,6.00,0.80,0.76,Normal,,2.9,,,
"MahaOya
(RB102)",MahaOya,Badalgama,m,5.00,6.20,9.60,2.05,2.07,Normal,,5.1,,,
,MahaOya,Giriulla,m,5.50,6.50,7.50,1.16,1.18,Normal,,32.8,,,
"AttanagaluOya
(RB103)",AttanagaluOya,Dunamale,m,3.30,4.40,5.50,1.10,1.12,Normal,,,13.7,,
