ප්‍රධාන්‍ න්‍ගර සෙහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 5 - 1 2 -22,,,,,
න්‍ගරය,උෂ්ණත්වය(දස. අංශ්‍ක),,සාදේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,28,21,95,65,ප්‍රධාන වශහයන් වැසි රහිත
මඩකලපුව,28,24,90,75,වැසි වාර කිහිපයක්
හකාළඹ,31,24,85,65,ප්‍රධාන වශහයන් වැසි රහිත
ගාේල,28,24,95,80,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
යාපනය,29,21,80,55,ප්‍රධාන වශහයන් වැසි රහිත
ම නුවර,26,20,95,80,ප්‍රධාන වශහයන් වැසි රහිත
නුවරඑළිය,18,12,95,85,සිහින් වැසි වාර කිහිපයක්
රේනපුරය,31,23,95,65,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,29,25,80,65,ප්‍රධාන වශහයන් වැසි රහිත
මන්නාරම,29,25,85,65,ප්‍රධාන වශහයන් වැසි රහිත
