River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.20,1.50,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.01,4.00,Normal,,3.9,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.79,11.68,Normal,,1.6,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.83,1.81,Normal,,31.7,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.79,0.85,Normal,,12.1,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.87,1.79,Normal,,17.3,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.59,0.59,Normal,,3.8,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.64,2.65,Normal,,8.7,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.56,8.56,Normal,,15.2,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.55,4.55,Normal,,22.7,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.45,4.43,Alert,Falling,40.6,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.65,6.66,Minor Flood,Rising,29.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.24,3.26,Normal,,43.9,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.50,2.49,Normal,,14.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.98,0.95,Normal,,5.8,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.86,4.77,Normal,,33.7,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.50,1.41,Normal,,25.5,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.80,0.76,Normal,,39.8,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.99,0.99,Normal,,7.3,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.03,1.01,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.00,1.00,Normal,,0.8,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.44,1.42,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.14,-0.14,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.67,0.67,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.40,0.40,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.09,0.09,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.04,0.02,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.21,-3.23,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.18,2.18,Normal,,2.8,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.66,1.66,Normal,,25.9,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.33,0.35,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.28,1.29,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.19,1.18,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.34,0.35,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.38,0.38,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.36,2.36,Normal,,15.9,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.18,1.20,Normal,,6.2,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.76,1.74,Normal,,0.0,
