,6,"කුරුණෑගල
FUdhfy;
Kurunegala",Paduwasnuwara West,Flood,2023.11.10,138,446,,,,,,,,,,
,,,Ridigama,Heavy Rain/Drowing,2023.11.09-10,6,17,1,,,,4,,,,,
,,,Kobeigane,Flood,2023.11.10,11,36,,,,,,,,,,
,,,Narammala,Flood/Tree Fallen,2023.11.06/09,9,26,,,,,1,,,,,
,,,Polgahwela,Heavy rain,2023.11.09,3,8,,,,,2,1,,,,
,,,Udubaddawa,Heavy Rain,2023.11.10/12,14,43,,,,,2,,,,,
,,,Bingiriya,Flood,2023.11.06-12,10,26,,,,,1,,,,,
,,,Ganewatta,Heavy Rain/Lightning,2023.11.09-10,2,3,,,,,2,,,,,
,,,Paduwasnuwara East,High Wind,2023.11.12,1,4,,,,,1,,,,,
,,,Ibbagamuwa,High Wind,2023.11.10,1,2,,,,,1,,,,,
,,,Kuliyapitiya,High Wind,2023.11.11,1,3,,,,,1,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,196,614,1,0,0,0,15,1,0,0,0,0
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,2590,9300,1,0,0,1,23,2,5,0,0,0
"Western
Nky; khfhzk;
බස්ත්‍රනාහිර පලාත",7,,Gampaha,Flood,"2023.11.02 to
2023.11.13",125,461,,,,,3,1,1,,,
,,,Minuwangoda,Flood,,31,97,,,,,6,,,3,6,23
,,ගම්පහ,Aththanagalla,Flood,,200,716,,,,,,,,,,
,,fk;g`h,Katana,Flood,,83,329,,,,,,,,,,
,,Gampaha,Ja Ela,Flood,,121,516,,,,,4,,,1,13,54
,,,Dompe,Heavy Rain,,2,10,,,,,2,,,,,
,,,Wattala,Flood,,2203,9256,,,,,3,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,2765,11385,0,0,0,0,18,1,1,4,19,77
,8,"්කාළඹ
nfhOk;G Colombo",Colombo,"Heavy Rain/High
Wind",2023.11.07,2,8,,,,,2,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,2,8,0,0,0,0,2,0,0,0,0,0
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,2767,11393,0,0,0,0,20,1,1,4,19,77
"ස්ත්‍බරගමුව පලාත
rg;ufKt
Sabaragamuwa",9,,Kolonna,Cutting Faliure,2023.11.12,1,4,,,,,1,1,,,,
,,,Kalawana,Drowing,2023.11.09,1,2,1,,,,,,,,,
,,,Godakawela,Cutting Faliure/Heavy rain,2023.11.10,4,19,,,,,4,,,,,
,,,Nivitigala,Heavy rain,2023.11.11,1,3,,,,,1,,,,,
,,,Ebilipitiya,Cutting Faliure,2023.11.11,1,4,,,,,1,,,,,
,,,Opanayaka,Heavy Rain/Tree Fallen,2023.11.06/12,5,17,,,,,3,,,,,
,,රත්නපුර,Balangoda,Land Slide/Heavy Rain,2023.11.12,8,33,,,4,1,2,,,,,
,,",uj;jpdGhp
Rathnapura",Kahawatta,Cutting Faliure,2023.11.12,2,10,,,,,2,,,,,
,,,Pelmadulla,Cutting Faliure/Lightning,2023.11.11-12,2,7,,,,,2,,,,,
,,,Kuruvita,Heavy Rain,2023.11.12,1,2,,,,,1,,,,,
,,,Weligepola,Heavy Rain/Lightning,2023.11.12,2,6,,,,,2,,,,,
,,,Rathnapura,Heavy Rain,2023.11.12,3,11,,,,,3,,,,,
,,,Imbulpe,Heavy Rain,2023.11.12,1,2,,,,,1,,,,,
,,,Ayagama,Heavy Rain,2023.11.12,1,2,,,,,1,,,,,
,,,Elapatha,Lightning,2023.11.12,1,4,,,,,1,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,34,126,1,0,4,1,25,1,0,0,0,0
,10,,Yatiyantota,Cutting Faliure,2023.11.11,1,5,,,,,1,,,,,
,,,Deraniyagala,Cutting Faliure/Lightning,2023.11.11,4,12,,,,,4,,,,,
,,කෑගල්ල,Mawanella,Cutting Faliure/Lightning,2023.11.09-12,11,36,,,,,7,,,,,
,,Nffhiy,Bulatkohupitiya,High Wind,2023.11.05,3,13,,1,,,1,,,,,
,,Kegalle,Warakapola,Tree Fallen/Lightning,2023.11.10/12,31,122,,1,,,31,,,,,
,,,Galigamuwa,Lightning/Flood,2023.11.12,6,18,,,,,6,,,,,
,,,Aranayaka,Tree Fallen/Lightning,2023.11.12,2,10,,,,,2,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,58,216,0,2,0,0,52,0,0,0,0,0
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,92,342,1,2,4,1,77,1,0,0,0,0
