දිනය : 2026-08-13,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,25,85,55,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,33,26,95,70,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යකාළඹ,31,27,85,70,විටින් විට වැසි
ගාල්ල,29,26,95,85,විටින් විට වැසි
යාපනය,32,27,90,65,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,29,23,90,65,වැසි වාර කිහිපයක්
නුවරඑළිය,21,15,95,70,වැසි වාර කිහිපයක්
රත්නපුරය,32,25,95,80,විටින් විට වැසි
ත්‍රිකුණාමලය,36,27,80,45,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,29,26,90,75,ප්‍රධාන වශයයන් වැසි රහිත
