දිනය : 2026-09-02,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,36,26,90,45,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,36,26,90,50,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යකාළඹ,31,28,85,70,වැසි වාර කිහිපයක්
ගාල්ල,30,26,90,80,වැසි වාර කිහිපයක්
යාපනය,33,27,80,60,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,30,21,95,60,සිහින් වැසි වාර කිහිපයක්
නුවරඑළිය,19,15,95,75,සිහින් වැසි වාර කිහිපයක්
රත්නපුරය,32,25,95,60,වැසි වාර කිහිපයක්
ත්‍රිකුණාමලය,36,27,80,50,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,31,27,85,70,ප්‍රධාන වශයයන් වැසි රහිත
