River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water
Level
Rising or
Falling","15 hr RF in
mm at
12:00
midnight",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.30,1.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.13,1.10,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.48,9.64,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.66,1.69,Normal,,1.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.61,0.62,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.75,0.86,Normal,,7.8,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.63,0.62,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.60,0.50,Normal,,0.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.98,4.99,Normal,,0.0,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.86,1.86,Normal,,6.6,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.05,1.05,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.92,2.20,Normal,,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.32,1.31,Normal,,5.7,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.26,1.26,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.36,0.36,Normal,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.40,2.38,Normal,,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.45,0.44,Normal,,2.2,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.05,0.05,Normal,,4.8,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.72,1.73,Normal,,2,5.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.58,0.59,Normal,,56.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.75,0.75,Normal,,6.8,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.30,1.30,Normal,,2,0.3,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.32,0.36,Normal,,10.5,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.68,0.68,Normal,,1.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.59,0.58,Normal,,9.7,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.13,0.13,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.26,-0.25,Normal,,4.8,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.10,-3.10,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.70,2.70,Normal,,0.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.04,1.04,Normal,,0.0,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.24,0.24,Normal,,0.3,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.48,1.48,Normal,,38.8,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.87,0.87,Normal,,11.5,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.51,1.50,Normal,,1.4,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.30,1.29,Normal,,2.7,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.32,2.30,Normal,,2.0,,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.18,1.19,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.90,0.95,Normal,,0.0,,
