River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,0.90,0.60,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.00,2.94,Normal,,16.3,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.05,11.02,Normal,,20.9,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.98,1.98,Normal,,46.2,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.94,0.96,Normal,,33,.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.50,1.45,Normal,,15.2,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.27,1.25,Normal,,63.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.56,1.51,Normal,,9.1,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.09,7.05,Normal,,15.1,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.00,3.09,Normal,,13.8,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.07,3.18,Normal,,8.6,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.57,4.57,Normal,,21.5,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.90,2.86,Normal,,32,.8,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.44,2.45,Normal,,19.9,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.91,0.90,Normal,,9.7,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.80,3.79,Normal,,10.3,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.18,1.24,Normal,,8.1,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.52,0.52,Normal,,19.2,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.84,0.85,Normal,,5.8,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.09,-0.09,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.52,0.52,Normal,,0.6,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.06,1.06,Normal,,0.8,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.28,-0.27,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.71,0.70,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.40,0.40,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.12,0.12,Normal,,0.1,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.17,-1.17,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.03,-0.03,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.91,-2.93,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.62,2.60,Normal,,17.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.17,2.17,Normal,,47.1,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.22,0.22,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.47,1.46,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.86,0.88,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.19,0.19,Normal,,9.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.09,0.09,Normal,,3.6,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.24,2.25,Normal,,3.7,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.37,1.35,Normal,,1.7,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.08,1.07,Normal,,9.2,,
