"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය /jpfjp / Date : 29th March 2021 at 1800hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක
දිනය
mdu;j;jk;
Muk;gpj;j
jpfjp
Date of
commence
d","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS
Division",,,"පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpas
T
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்க
ளின்
சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"මධ්‍යම පලොත
kj;jpa
khfhzk
Central",1,"නුවරඑලිය
Etnuypah
Nuwara Eliya",Walapane,Fire,2021.03.12,14,59,,,,14,,,,1,14,59,Pahala kotasa deke kovila
,,,Ambagamuwa,Fire,2021.03.16,17,82,,,,17,,,,1,17,82,Queensland Tamil School
,දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total,,,,,31,141,0,0,0,31,0,0,0,2,31,141,
,පළොත් ඵ තුව khfhz $l;Lj;njhif Province Total,,,,,31,141,0,0,0,31,0,0,0,2,31,141,
"ඌව
Cth
khfhzk;
Uva",2,"බදුල්ල
gJs;is Badulla",Haldumulla,Tree Fallen,2021.02.07,2,10,,1,,,2,,,1,1,5,"Sri Muttumari Amman
Kovil"
,දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total,,,,,2,10,0,1,0,0,2,0,0,1,1,5,
,පළොත් ඵ තුව khfhz $l;Lj;njhif Province Total,,,,,2,10,0,1,0,0,2,0,0,1,1,5,
"බස්ත්‍රනොහිර පලොත
Western
Nky; khfhzk",3,"ක ොළඹ nfhOk;G
Colombo",Colombo,Fire,2021.03.15,27,142,,,,,27,,,1,27,142,"*Kalani Nadee Tempale
*Modara Community Hall"
,දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total,,,,,27,142,0,0,0,0,27,0,0,1,27,142,
,,,Attanagalle,Heavy Rain,2021.03.26,5,22,,,,,5,,,,,,
,,,Jaela,Lightning,2021.03.27,6,28,,,,,6,,,,,,
,,,Gampaha,High Wind,2021.03.27,2,8,,,,,2,,,,,,
,4,"ගම්පහ/fk;g`h/Ga
mpaha",Dompe,Tree Fallen,"2021.03.22/
28",4,18,,,,,4,,,,,,
,,,,Lightning,2021.03.27,1,3,,,,,1,,,,,,
,,,Meerigame,Lightning,2021.03.28,1,3,,,,,1,,,,,,
,,,,High Wind,,1,3,,,,,1,,,,,,
,දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total,,,,,20,85,0,0,0,0,20,0,0,0,0,0,
,පළොත් ඵ තුව khfhz $l;Lj;njhif Province Total,,,,,47,227,0,0,0,0,47,0,0,1,27,142,
"ස්ත්‍බරගමුව පලොත
rg;ufKt
Sabaragamuw
a",5,"රත්නපුර
,uj;jpdGhp
Rathnapura",Balangoda,"Heavy Rain / High
Wind & Landslide Risk",2021.03.22,40,150,,,,1,35,1,,1,3,19,"Official residence of the
Municipal Secretary
Balangoda"
,,,Kiriella,Lightning,2021.03.21,2,9,,,,,2,,,,,,
,,,,High wind,,2,9,,,,,2,,,,,,
,,,Godakawela,Lightning,,2,8,,,,,2,,,,,,
,,,,Heavy rain,2021.03.28,1,5,,,,,1,,,,,,
,,,Elapatha,High wind,2021.03.21,2,7,,,,,2,,,,,,
,,,Imbulpe,,2021.03.24,1,4,,,,,1,,,,,,
,,,Nivithigala,Heavy Rain,2021.03.28,2,7,,,,,2,,,,,,
,,,,Lightning,,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total,,,,,53,203,0,0,0,1,48,1,0,1,3,19,
,පළොත් ඵ තුව khfhz $l;Lj;njhif Province Total,,,,,53,203,0,0,0,1,48,1,0,1,3,19,
