දින්‍ය : 2026-06-25,,,,,
න්‍ගරය,උෂ්ණත්වය(හස. අංශක),,සාහේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,33,26,90,60,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මඩකලපුව,33,27,95,70,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
වකාළඹ,31,27,90,75,විටින් විට වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
ගාල්ල,30,28,85,75,විටින් විට වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
යාපනය,33,28,85,60,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මහනුවර,30,23,90,70,විටින් විට වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
නුවරඑළිය,21,15,95,75,විටින් විට වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
රත්නපුරය,33,25,95,65,විටින් විට වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
ිකුණාමලය,36,27,80,50,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මන්නාරම,31,28,85,70,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
