River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 p.m.",Remarks,"Water Level 9
Rising or
Falling","Hr RF in
mm at 6.00
p.m."
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.25,2.25,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.05,4.15,Normal,,40.4
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.90,11.91,Normal,,40.4
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.47,1.50,Normal,,28.4
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.69,1.54,Normal,,15.7
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.95,0.96,Normal,,47.6
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.68,0.67,Normal,,7.3
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.29,1.27,Normal,,19.8
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.38,5.46,Normal,,12.8
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.63,1.64,Normal,,7.9
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.18,4.30,Alert,Rising,7.2
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.81,4.86,Normal,,41.3
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.75,2.80,Normal,,31.7
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.90,2.86,Normal,,22.5
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.88,0.91,Normal,,25.3
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.62,3.89,Normal,,11.4
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.34,1.35,Normal,,7.5
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.54,0.65,Normal,,15.9
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.04,1.04,Normal,,2.8
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.73,0.72,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,1.27,1.24,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.23,-2.31,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.78,1.70,Normal,,3.2
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.13,1.10,Normal,,11.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.53,0.53,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.43,2.49,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.65,0.65,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.02,1.03,Normal,,33.9
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.08,3.10,Normal,,21.3
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.06,2.07,Normal,,20.9
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.06,4.12,Alert,Rising,89.8
