River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 AM","Water
Level at
9:00 AM",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8:30 AM",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.60,1.50,Normal,,-,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,1.79,1.75,Normal,,1.7,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,10.00,9.90,Normal,,11.6,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.60,1.30,Normal,,2,1.8
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.31,0.31,Normal,,1.4,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,0.70,0.67,Normal,,2,5.4
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.56,0.55,Normal,,9.9,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.97,0.96,Normal,,16.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.00,5.02,Normal,,3.4,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.46,1.43,Normal,,15.9,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.74,3.71,Normal,,52.2,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.42,4.41,Normal,,7.9,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.63,2.62,Normal,,3.2,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.99,1.95,Normal,,15.7,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.41,0.40,Normal,,1.4,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.12,3.10,Normal,,6.4,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.74,0.74,Normal,,10.3,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.21,0.21,Normal,,8.8,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.67,0.67,Normal,,0.6,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.06,1.06,Normal,,0.8,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.98,0.95,Normal,,1.1,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.04,1.03,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.26,-0.26,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.58,0.57,Normal,,5.3,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.16,0.16,Normal,,11.8,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.09,0.09,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.13,-0.13,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.89,-2.90,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.30,2.22,Normal,,5.6,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.16,1.15,Normal,,17.1,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.15,0.15,Normal,,0.3,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.77,1.77,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.40,0.40,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.07,-0.07,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.25,-0.25,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.89,1.89,Normal,,3.1,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.82,0.82,Normal,,0.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.10,1.08,Normal,,0.7,
