River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.10,3.00,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.96,4.89,Normal,,5.2,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.17,12.13,Normal,,2,0.1
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.03,1.98,Normal,,0.5,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.19,1.17,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.57,1.56,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.07,1.06,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.80,2.79,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.07,9.05,Normal,,53.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.42,4.37,Normal,,4.6,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.35,3.34,Normal,,2,3.5
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.35,6.35,Alert,,10.8,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.61,3.59,Alert,Falling,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.53,2.58,Normal,,13.1,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.52,1.51,Alert,Falling,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.15,5.13,Alert,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.40,1.43,Normal,,9.8,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.70,0.72,Normal,,12.5,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.03,1.03,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.25,0.24,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.60,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.23,1.22,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.19,-0.19,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.79,0.78,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.46,0.46,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.32,0.32,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.15,0.15,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.11,-3.12,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.58,3.57,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.05,2.03,Normal,,0.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.35,0.38,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.52,1.52,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.46,0.46,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.95,0.95,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.30,0.30,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.07,2.07,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.29,3.25,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.07,2.15,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.23,2.21,Normal,,0.0,
