River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.40,1.00,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.94,2.88,Normal,,9.9,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.86,10.66,Normal,,82.3,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.36,1.19,Normal,,129,.9,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.08,1.02,Normal,,22.3,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.83,0.79,Normal,,164.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.00,0.95,Normal,,32.6,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.34,1.37,Normal,,18.5,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.60,7.66,Normal,,42.4,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.38,4.28,Normal,,91.6,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.60,3.54,Normal,,30.7,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.72,4.83,Normal,,62.1,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.54,2.58,Normal,,11.6,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.00,2.91,Normal,,50.7,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.03,1.09,Normal,,3.6,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.47,4.48,Normal,,13.7,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.07,1.98,Normal,,48.6,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.88,0.82,Normal,,98.8,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.30,1.27,Normal,,60.5,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.84,1.78,Normal,,8.8,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.40,1.40,Normal,,73.7,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.42,2.41,Normal,,11.1,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.05,-0.06,Normal,,11.9,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.53,1.50,Normal,,38.8,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.87,0.84,Normal,,2.1,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.50,1.46,Normal,,7.5,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,4.45,4.43,Minor Flood,Falling,39.4,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-0.86,-0.88,Normal,,68.8,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.68,2.65,Normal,,215.5,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.27,1.27,Normal,,96.8,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.90,0.87,Normal,,12.6,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.78,1.86,Normal,,4.7,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.71,0.71,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.28,1.32,Normal,,61.4,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.06,0.06,Normal,,4.5,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.07,0.07,Normal,,5.1,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.81,1.81,Normal,,8.3,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.75,2.35,Normal,,13.2,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.44,1.38,Normal,,18.0,,
