,"Rambukkana,
Yatiyanthota,
Warakapola,
Aranayake and
Deraniyagala
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Division(s) (DSD) and
surrounding areas.",
Kurunegala,"Rideegama,
Mawathagama and
Mallawapitiya
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Matale,"* Ambanganga Korale,
Naula,
* Ukuwela,
Yatawatta and
Rattota
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Matara,"Pasgoda
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Kotapola and
Pitabeddara
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
"Nuwara
Eliya","Ambagamuwa and
Kotmale
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","* Nuwara Eliya
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","↑ Walapane , ↑Nidandahinna , ↑Mathurata
and
↑ Hanguranketha
Divisional Secretariat
Division(s) (DSD) and
surrounding areas."
Ratnapura,"Embilipitiya,
Kiriella,
Openayake and
Weligepola
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Kahawaththa,
Kalawana,
Nivithigala,
Ayagama,
Imbulpe,
Balangoda,
Kolonna,
Ratnapura and
Elapatha
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
"Note: ↑shifted one level up, ↑↑shifted two levels up, ↓shifted one level down, ↓↓shifted two levels down.",,,
*newly added with the last update,,,
