River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
08:00 pm","Water
Level at
09:00 pm",Remarks,"Water Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.00,3.10,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.55,5.64,Normal,,58.6,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.43,13.50,Normal,,36.4,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.92,1.96,Normal,,36.1,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.23,1.23,Normal,,8.7,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.33,2.41,Normal,,55.2,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.87,0.93,Normal,,3.1,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.12,3.13,Alert,Rising,33.3,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.87,8.90,Normal,,33.4,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.78,4.81,Normal,,14.8,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.57,4.61,Alert,Rising,26.6,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.00,7.05,Minor Flood,Rising,17.9,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.43,3.78,Normal,,47.9,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.44,4.48,Minor Flood,Rising,38.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.68,2.68,Minor Flood,,28.7,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.72,6.75,Minor Flood,Rising,47.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,4.30,4.78,Alert,Rising,116.4,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.60,2.92,Alert,Rising,81.2,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.17,3.20,Normal,,14.5,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.12,2.28,Normal,,18.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.22,4.32,Alert,Rising,64.6,
