River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
05:00
AM","Water
Level at
06:00
AM",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
06:00 AM",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.50,3.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,6.84,6.79,Alert,Falling,13.0,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,14.85,14.63,Normal,,28.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.15,2.10,Normal,,91.1,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,1.50,1.40,Normal,,64.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.82,1.76,Normal,,77.9,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.27,1.24,Normal,,67.9,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.42,2.46,Normal,,8.7,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.78,8.78,Normal,,48,.2,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,6.12,6.05,Alert,Falling,49,.7,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.68,5.66,Alert,Falling,74.2,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.44,6.59,Minor Flood,Rising,28.6,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.84,3.86,Alert,Rising,19.4,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,4.86,4.63,Alert,Falling,41,.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.40,1.50,Alert,Rising,21.8,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.02,5.99,Alert,Falling,43,.1,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.90,1.85,Normal,,27.7,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.95,0.87,Normal,,31.1,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.08,1.10,Normal,,11.6,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.10,1.10,Normal,,3.3,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.85,0.85,Normal,,1.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.10,1.10,Normal,,2.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.26,-0.26,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.55,0.54,Normal,,0.5,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.17,0.17,Normal,,0.5,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.2,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.21,-0.21,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-2.88,Normal,,1.3,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.60,3.11,Normal,,51,.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.27,2.18,Normal,,93.9,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.28,0.30,Normal,,15.6,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.73,1.73,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,3.2,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,31.7,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,60.1,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.22,-0.22,Normal,,1.8,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.07,4.00,Normal,,18.1,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.93,2.83,Normal,,79.3,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.42,3.40,Alert,Falling,42,.4,
