River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.10,1.00,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.86,0.88,Normal,,30,.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.07,8.99,Normal,,57.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.55,1.55,Normal,,2.4,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.34,0.34,Normal,,7.8,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.36,0.31,Normal,,1.5,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.51,0.51,Normal,,58.7,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.41,0.42,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.24,4.24,Normal,,11.3,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.11,1.06,Normal,,2.7,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.95,0.93,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.87,1.80,Normal,,60.2,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.31,1.31,Normal,,2.2,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.49,1.46,Normal,,6.8,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.35,0.30,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.20,2.24,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.58,0.47,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.12,0.10,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.72,0.71,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.36,0.40,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.79,0.83,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.09,1.08,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.23,-0.23,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.76,0.76,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.36,0.36,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.47,0.47,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.47,0.48,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.90,-2.96,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.23,1.26,Normal,,9.5,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.71,0.72,Normal,,9.7,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.42,0.40,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.26,1.26,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.60,0.60,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.08,1.08,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.24,-0.24,Normal,,53.3,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.14,-0.19,Normal,,1.3,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.72,1.72,Normal,,1.5,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.95,0.93,Normal,,15.2,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.42,0.43,Normal,,13.0,
