River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.80,1.40,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.93,2.87,Normal,,0.9,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.30,10.29,Normal,,3.4,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.55,1.20,Normal,,2.2,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.55,0.55,Normal,,3.1,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.77,0.85,Normal,,0.8,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.61,0.61,Normal,,0.5,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.25,2.21,Normal,,1.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.71,6.60,Normal,,2.6,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.66,1.63,Normal,,4.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.39,3.28,Normal,,0.6,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.33,6.32,Alert,Falling,10.3,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.60,3.57,Alert,Falling,0.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.94,1.89,Normal,,1.7,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.18,1.16,Normal,,1.1,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.03,4.96,Normal,,2.6,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.96,0.96,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.43,0.43,Normal,,1.2,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.00,1.01,Normal,,1.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.54,0.54,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.72,0.74,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.21,1.21,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.17,-0.17,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.64,0.63,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.33,0.33,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.19,0.19,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,-0.04,-0.02,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.09,-3.09,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.65,1.62,Normal,,2.8,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.27,1.27,Normal,,2.7,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.30,0.32,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.47,1.47,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.38,0.38,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.97,0.96,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.04,0.04,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.39,0.39,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.81,2.79,Normal,,3.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.45,1.44,Normal,,5.,6
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.95,1.90,Normal,,0.7,
