"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය /jpfjp / Date : 14th May 2021 at 1800hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j
jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS
Division",,,"පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpas
T
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்க
ளின்
சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"සබරගමුව පලාත
rg;ufKt
Sabaragamuw
a",1,"කෑගල්ල Nffhiy
Kegalle",Rambukkana,Cutting Failiture,"2021.05.13
e",4,16,,,,,,,,,,,
,,,Ruwanwella,Flood,,84,299,,,,,,,,,,,
,,,Bulathkohupitiya,Cutting Failiture,,8,30,,,,,,,,,,,
,,,Kegalle,Rock & Tree Fallan,,2,10,,,,,2,,,,,,
,,,Warakapola,Cutting Failiture,,4,15,1,,,,,,,,,,
,,,Aranayake,Tree fallan,,1,2,,,,,1,,,,,,
,,,Dehiovita,Flood & Cutting Failitur,,161,529,,,,,2,,,,,,
,,,Daraniyagala,Cutting Failiture,,33,122,,,,,10,,,,,,
,,,Yatiyanthota,Cutting Failiture,,25,98,,,,,1,,,,,,
,,,Mavanella,Cutting Failiture,,3,11,,,,,3,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,325,1132,1,0,0,0,19,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,325,1132,1,0,0,0,19,0,0,0,0,0,
"Western/
Nky;
khfhzk;බසරනා
හිර පලාත",2,,"Jayawardanapura
Kotte",,2021:05:13,42,175,,,,,,,,1,42,175,
,,කකාළඹ nfhOk;G,Seethawaka,Flood,2021.05.14,94,407,,,,,,,,,,,
,,Colombo,Kaduwela,,,131,524,,,,,,,,,,,
,,,Maharagama,Tree fallan,,3,9,,,,,3,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,270,1115,0,0,0,0,3,0,0,1,42,175,
,3,"කළුතර/fSj;Jiw
/ Kalutara",Bulathsinhala,Heavy Rain,2021.05.13,4,7,,,,,,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,4,7,0,0,0,0,0,0,0,0,0,0,
,4,"ගම්පහ fk;g`h
Gampaha",Kelaniya,Flood,2021.05.14,839,3659,,,,,2,,,,,,
,,,Aththanagalla,,2021.05.13,216,948,,1,,,6,,,,,,
,,,Waththala,,2021.05.14,17,74,,,,,17,,,,,,
,,,Mahara,,2021.05.13,44,182,,,,,10,,,,,,
,,,Divulapitiya,,2021.05.14,28,113,,,,,5,,,,,,
,,,Minuwangoda,,2021.05.13,2,7,,,,,2,,,,,,
,,,Meerigama,,2021.05.14,199,965,,,,,3,,,,,,
,,,Dompe,,2021.05.14,40,171,,,,,40,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,1385,6119,0,1,0,0,85,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,1655,7234,0,1,0,0,88,0,0,1,42,175,
"වයඹ
පලාත/tlNky;
khfhzk;/
North
Western/",5,"කුරුනෑගල/FUdhf
y;/ Kurunegala",Narammala,Flood,2021.05.13,84,301,,,,,,,,,,,
,,,Pannala,,,12,34,,,,,,,,,,,
,,,Bingiriya,,,9,31,,,,,,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,105,366,0,0,0,0,0,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,105,366,0,0,0,0,0,0,0,0,0,0,
