River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,0.70,0.60,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.38,1.43,Normal,,2.3,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.77,9.70,Normal,,0.8,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.53,1.39,Normal,,31,.4,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.54,0.51,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.77,0.75,Normal,,12.5,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.66,0.65,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.50,0.42,Normal,,5.9,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.14,5.20,Normal,,0.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.71,1.62,Normal,,8.4,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.08,1.96,Normal,,6.2,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,2.59,2.56,Normal,,0.0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.82,1.95,Normal,,18.1,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.39,3.45,Normal,,43.3,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.57,1.59,Alert,Rising,26,.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.67,4.76,Normal,,51.4,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.03,1.03,Normal,,0.5,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.42,0.43,Normal,,1.5,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.85,0.86,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.41,0.37,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.65,0.65,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.33,1.33,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.16,-0.16,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.91,0.90,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.52,0.52,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.37,0.38,Normal,,1.5,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.89,-0.91,Normal,,4.8,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.25,0.23,Normal,,4.8,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.50,-2.53,Normal,,24,.5,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.65,1.60,Normal,,0.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.19,1.18,Normal,,35,.4,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.32,0.34,Normal,,4.1,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.69,1.68,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.51,0.51,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.18,1.19,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.12,0.12,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.46,0.46,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.05,2.05,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.95,0.95,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.14,1.14,Normal,,0.0,,
