River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.70,2.00,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.51,1.53,Normal,,1.5,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.83,9.75,Normal,,28.7,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.57,1.23,Normal,,30.5,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.68,0.60,Normal,,9.2,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.73,0.67,Normal,,4.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.70,0.70,Normal,,4.3,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.65,0.67,Normal,,0.3,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.20,5.30,Normal,,5.2,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.50,2.48,Normal,,24.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.30,2.49,Normal,,21.1,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.84,2.96,Normal,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.03,1.11,Normal,,29.9,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.80,1.75,Normal,,3.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.30,0.32,Normal,,1.2,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.46,2.54,Normal,,6.3,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.98,0.95,Normal,,3.7,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.47,0.41,Normal,,38.4,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.48,1.42,Normal,,38.2,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,3.09,2.90,Normal,,15.1,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.59,1.60,Normal,,41.3,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,3.21,3.04,Normal,,32.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.74,1.88,Normal,,7.8,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.97,0.97,Normal,,3.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.43,0.42,Normal,,5.2,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.28,0.28,Normal,,0.2,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.29,1.26,Normal,,7.1,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.80,-2.82,Normal,,7.7,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.83,1.84,Normal,,43.8,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.12,1.10,Normal,,28.2,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.59,0.56,Normal,,0.2,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.15,2.15,Normal,,16.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.71,0.69,Normal,,34.9,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.65,2.64,Normal,,2.5,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,2.02,1.88,Normal,,70.9,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.26,1.33,Normal,,63.2,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.40,2.41,Normal,,40.6,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.31,1.30,Normal,,1.7,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.90,1.88,Normal,,11.5,
