දින්‍ය : 2026-07-15,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,25,90,60,ප්‍රධාන වශනයේ වැසි රහිත
මඩකලපුව,35,26,85,50,ප්‍රධාන වශනයේ වැසි රහිත
නකාළඹ,30,28,80,70,වැසි ස්වල්පයක්
ගාල්ල,30,28,85,80,වැසි ස්වල්පයක්
යාපනය,35,28,90,60,ප්‍රධාන වශනයේ වැසි රහිත
මහනුවර,29,22,90,70,වැසි ස්වල්පයක්
නුවරඑළිය,20,13,90,70,වැසි ස්වල්පයක්
රත්නපුරය,33,25,90,65,වැසි වාර කිහිපයක්
ිකුණාමලය,37,27,80,40,ප්‍රධාන වශනයේ වැසි රහිත
මේනාරම,31,28,85,75,ප්‍රධාන වශනයේ වැසි රහිත
