River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.20,1.20,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.33,1.30,Normal,,20.6,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.35,9.30,Normal,,25.2,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.53,1.58,Normal,,18.1,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.58,0.58,Normal,,5.6,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.45,0.45,Normal,,14.6,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.71,0.71,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.55,0.44,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.76,4.77,Normal,,25.1,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.09,1.08,Normal,,13.8,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.29,1.34,Normal,,0.8,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.40,2.29,Normal,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.28,1.27,Normal,,62.,1
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.36,1.36,Normal,,6.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.55,0.52,Normal,,8.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.09,3.09,Normal,,4.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.82,0.82,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.55,0.57,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.01,2.00,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.89,1.89,Normal,,5.8,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.29,1.28,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.00,2.00,Normal,,0.5,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,4.66,4.64,Minor Flood,Falling,1.1,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.85,2.82,Normal,,13.3,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,2.11,2.06,Normal,,7.7,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,2.36,3.23,Normal,,59.,0
,,Manampitiya ( Old),m,3.50,5.00,6.00,4.08,4.11,Alert,Rising,9.5,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,5.22,5.25,Alert,Rising,9.5,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,2.16,1.85,Normal,,104.5,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.25,2.38,Normal,,28.1,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.97,0.96,Normal,,4.2,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.45,1.43,Normal,,11.9,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,4.50,4.45,Normal,,19.9,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.10,1.04,Normal,,15.6,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.41,4.42,Normal,,2.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,3.55,3.51,Normal,,10.1,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.72,3.72,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.36,2.36,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.20,1.20,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.24,1.23,Normal,,0.0,
