River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.05,1.85,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.88,3.13,Normal,,10.8,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.98,12.14,Normal,,54.,6
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,1.90,Normal,,39.,2
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.70,2.10,Normal,,58.,4
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.24,1.27,Normal,,61.,4
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.35,1.40,Normal,,62.,3
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.08,1.08,Normal,,44.,1
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.44,6.63,Normal,,78.,1
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.80,4.11,Normal,,66.,4
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.39,3.91,Normal,,41.,2
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.27,3.63,Normal,,102.1,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.93,2.11,Normal,,58.,9
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,4.30,4.42,Alert,Rising,84.,8
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.90,0.95,Normal,,69.,3
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.22,4.48,Normal,,54.,3
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.69,1.85,Normal,,56.,5
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.05,1.19,Normal,,38.,8
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.00,2.02,Normal,,21.3,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.39,1.41,Normal,,5.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.14,1.14,Normal,,3.3,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.87,1.87,Normal,,2.7,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.04,1.05,Normal,,2.1,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.21,1.21,Normal,,9.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.83,0.82,Normal,,5.3,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.79,0.80,Normal,,3.1,
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.14,0.15,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.28,1.29,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.12,-1.14,Normal,,3.6,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.10,4.38,Normal,,19.8,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.04,1.93,Normal,,64.,2
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.70,0.69,Normal,,1.4,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,4.02,4.02,Normal,,8.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,2.58,2.73,Normal,,22.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,5.04,4.93,Normal,,80.,0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.24,1.22,Normal,,9.1,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.55,1.62,Normal,,9.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.93,2.95,Normal,,4.5,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.85,2.05,Normal,,11.1,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.25,2.40,Normal,,39.,4
