,,,,High Wind,2022.10.25,2,6,,,,,2,,,,,,
,,,,High Wind,2022.10.18,1,1,,,,,1,,,,,,
,,,Rambukkana,Tree Fallen,2022.10.24,2,9,,,,,2,,,,,,
,,,,High Wind,2022.10.26,1,3,,,,,1,,,,,,
,,,,Heavy Rain,2022.10.15,1,2,,,,1,,,,,,,
,,,Kegalle,Heavy Rain,2022.10.15,1,3,,,,,1,,,,,,
,,,,Wall Collapse,2022.10.24,1,6,,,,,1,,,,,,
,,,,Tree Fallen,2022.10.25,1,5,,,,,1,,,,,,
,,,Ruwanwella,Wall Collapse,2022.10.23,3,13,,,,,3,,,,,,
,,,,Cutting Failure,2022.10.15,4,15,,,,,,,,,,,
,,,Galigamuwa,Tree Fallen,2022.10.18,4,15,,,,,4,,,,,,
,,,Bulathkopitiya,Cutting Failure,2022.10.23,1,4,,,,,2,,,,,,
,,,Mawanella,Wall Collapse,2022.10.25,1,2,,,,,1,,,,,,
,,,,Cutting Failure,2022.10.17,2,13,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,118,438,2,1,0,3,94,0,0,0,0,0,
,පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,630,2382,2,2,0,3,136,2,0,0,0,0,
,,,,,2022.10.18 / 19,4,20,,,,,4,,,,,,
,,,Pujapitiya,"Heavy Rain & Cutting
Failure
Heavy Rain & Wind",2022.10.18,1,4,,,,,1,,,,,,
,,,,,2022.10.21,1,4,,,,,1,,,,,,
,,,,,2022.10.19,1,4,,,,,1,,,,,,
,12,"නුවර
fz;b Kandy",Udunuwara,Heavy Rain & Wind,2022.10.20,1,4,,,,,1,,,,,,
,,,,,2022.10.17,1,4,,,,,1,,,,,,
,,,Hatharaliyadda,,,1,3,,,,,1,,,,,,
,,,,,2022.10.20,1,3,,,,,1,,,,,,
,,,Kundasale,Hravy Rain,,1,3,,,,,1,,,,,,
,,,Udapalatha,Tree Fallen,2022.10.23,3,13,,,,,3,,,,,,
,,,,,2022.10.19,,,1,,,,,,,,,,
,,,,Drowning,,,,,,1,,,,,,,,
,,,Gangawatakorale,Heavy Rain & Wind,2022.10.21,1,7,,,,,1,,,,,,
,,,,,2022.10.22,2,10,,,,,2,,,,,,
,,,Dumpane,,2022.10.22,1,4,,,,,1,,,,,,
,,,Yatinuwara,Tree Fallen,2022.10.24,2,8,,,,,2,,,,,,
,,,Deltota,Tree Fallen,2022.10.20,1,5,,,,,1,,,,,,
,,,Doluwa,Heavy Rain & Wind,2022.10.21,1,5,,,,,1,,,,,,
,,,,,2022.10.21,1,1,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,24,102,1,0,1,0,24,0,0,0,0,0,
,,,Nuwaraeliya,Cutting failure,2022.10.19,1,4,,,,,1,,,,,,
,,,,,2022.10.21,4,18,,,,,4,,,,,,
,,,,Landslide,,5,26,,,,,5,,,,,,
,,,,Cutting Failure,,7,32,,,,,3,,,1,1,7,
,,,,Tree Fallen,,1,6,,,,,1,,,,,,
