River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
2
Level
i
Rising or
Falling","4 Hr RF
n mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.00,1.95,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.02,4.15,Normal,,100.8,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.13,12.30,Normal,,85.9,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.94,1.88,Normal,,45.2,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.56,2.00,Normal,,35.7,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.68,2.55,Normal,,56.3,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.14,1.16,Normal,,20.2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.07,2.05,Normal,,48.9,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.24,7.38,Normal,,62.5,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.54,3.98,Normal,,43.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.16,4.36,Alert,Rising,59.3,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,5.05,5.12,Alert,Rising,45.3,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.80,2.82,Normal,,45.4,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.56,2.84,Normal,,30.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.70,0.70,Normal,,44.6,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.01,3.14,Normal,,39.2,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.92,1.03,Normal,,24.6,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.85,0.90,Normal,,37.9,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.90,0.94,Normal,,20.7,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.99,0.99,Normal,,8.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.02,1.04,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.26,1.26,Normal,,7.9,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.04,-0.03,Normal,,3.5,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.89,0.89,Normal,,0.4,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.53,0.53,Normal,,0.1,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.32,0.32,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.65,0.62,Normal,,5.1,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.64,-1.63,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.40,2.58,Normal,,14.1,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.96,2.12,Normal,,33.6,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.39,0.38,Normal,,1.1,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.54,1.53,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.55,0.54,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.73,1.70,Normal,,3.9,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.92,0.94,Normal,,54.9,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.01,2.03,Normal,,62.1,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.25,3.29,Normal,,71.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.33,2.50,Normal,,51.7,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.90,2.00,Normal,,72.4,
