River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.10,3.80,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.54,5.46,Normal,,0.6,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.41,11.39,Normal,,3.5,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.93,1.93,Normal,,0.5,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.00,0.99,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.29,1.28,Normal,,0.5,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.84,0.84,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,5.37,5.35,Major Flood,Falling,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,11.31,11.30,Minor Flood,Falling,0.0,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.58,5.53,Alert,Falling,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.75,3.68,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,9.53,9.50,Major Flood,Falling,0.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,5.39,5.36,Major Flood,Falling,0.0,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.73,2.70,Normal,,2.,,7,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.64,2.61,Minor Flood,Falling,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.02,6.00,Minor Flood,Falling,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.86,1.85,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.07,1.05,Normal,,4.6,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.09,1.09,Normal,,,1.9,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.38,0.37,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.57,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.25,1.23,Normal,,,1.5,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.19,-0.19,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.77,0.77,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.39,0.39,Normal,,0.2,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.36,0.35,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.05,0.05,Normal,,0.0,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.06,-3.07,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.68,2.69,Normal,,0.0,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.41,1.41,Normal,,0.0,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.34,0.33,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.51,1.51,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.49,0.49,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.12,1.12,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.22,0.22,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.09,1.08,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.05,3.04,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.72,1.71,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.74,3.66,Alert,Falling,0.0,,,
