ස්වයංක්‍රිය වර්ෂොමොන මධ්‍යස්ථොනය,දිස්ික් ය,වර්ෂොපතනය ( මි.මී )
"වස්ලතාලාරාමය, කිරිඳිවැල",ගම්පහ,146.5
හල්වුර වත්ත,කළුතර,123.5
ගුරුදියවපාත කර්මාන්ත ශාලාව,ගාල්ල,117.0
කරඳන වත් කර්මාන්ත ශාලාව,රත්නපුර,114.5
මව ාල්තැන්න වත්ත,කෑගල්ල,109.0
තල්ූව වත්ත,කෑගල්ල,108.0
"එලූව වත්ත, එලූව.",කළුතර,105.0
