Automatic Weather Station,Districts,Rainfall (mm)
"Selathalaramaya, Kirindiwela",Gampaha,146.5
Halwathura Estate,Kaluthara,123.5
Gurudiyapotha Tea Factory,Galle,117
Karandana Tea Factory,Rathnapura,114.5
Madolthenna Estate,Kegalle,109
Thalduwa Estate,Kegalle,108
"Eladuwa Estate, Eladuwa.",Kaluthara,105
