River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00 am",Remarks,"Water Level
Rising or
Falling","15 Hr RF
in mm at
12.00 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.30,2.30,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.51,4.49,Normal,,8.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.79,11.77,Normal,,9.6,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,1.85,Normal,,1.4,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.05,1.04,Normal,,14.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.42,1.40,Normal,,3.2,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.88,0.88,Normal,,2.7,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.90,3.89,Alert,Falling,15.1,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.44,9.40,Normal,,43.9,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.88,4.81,Normal,,31.6,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.78,3.86,Normal,,15.8,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.57,7.54,Minor Flood,Falling,39.4,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.20,3.26,Normal,,43.1,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.24,4.27,Minor Flood,Rising,80.5,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.39,2.40,Minor Flood,Rising,91.2,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.85,6.86,Minor Flood,Rising,23.4,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.87,2.81,Normal,,18.7,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.75,1.71,Normal,,24.5,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.22,3.24,Normal,,9.5,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.96,1.94,Normal,,17.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.40,3.39,Alert,Falling,24.2,
