දින්‍ය : 2026-03-17,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්තරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,35,24,95,50,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මඩකලපුව,32,25,90,75,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
හකාළඹ,32,26,90,60,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,32,25,90,60,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,34,24,80,70,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මහනුවර,32,21,95,50,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,22,10,95,70,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රත්නපුරය,36,22,95,50,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,33,25,90,68,වැසි ස්වල්පයක්
මන්නාරම,34,24,90,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
